690 batches ====> Validation Accuracy 0.171, Validation OOV Accuracy 0.243, Validation Loss 2.909
700 batches ====> Validation Accuracy 0.171, Validation OOV Accuracy 0.255, Validation Loss 2.905
710 batches ====> Validation Accuracy 0.172, Validation OOV Accuracy 0.255, Validation Loss 2.900
720 batches ====> Validation Accuracy 0.173, Validation OOV Accuracy 0.259, Validation Loss 2.894
730 batches ====> Validation Accuracy 0.177, Validation OOV Accuracy 0.270, Validation Loss 2.885
740 batches ====> Validation Accuracy 0.195, Validation OOV Accuracy 0.375, Validation Loss 2.868
750 batches ====> Validation Accuracy 0.200, Validation OOV Accuracy 0.375, Validation Loss 2.848


10 batches ====> Validation Accuracy 0.148, Validation OOV Accuracy 0.103, Validation Loss 4.357
20 batches ====> Validation Accuracy 0.119, Validation OOV Accuracy 0.069, Validation Loss 4.304
30 batches ====> Validation Accuracy 0.122, Validation OOV Accuracy 0.096, Validation Loss 3.953
40 batches ====> Validation Accuracy 0.132, Validation OOV Accuracy 0.121, Validation Loss 3.455
50 batches ====> Validation Accuracy 0.141, Validation OOV Accuracy 0.149, Validation Loss 3.177
60 batches ====> Validation Accuracy 0.141, Validation OOV Accuracy 0.150, Validation Loss 3.077
70 batches ====> Validation Accuracy 0.141, Validation OOV Accuracy 0.150, Validation Loss 3.040
80 batches ====> Validation Accuracy 0.151, Validation OOV Accuracy 0.133, Validation Loss 3.019
90 batches ====> Validation Accuracy 0.157, Validation OOV Accuracy 0.225, Validation Loss 3.002
100 batches ====> Validation Accuracy 0.157, Validation OOV Accuracy 0.224, Validation Loss 2.993
110 batches ====> Validation Accuracy 0.157, Validation OOV Accuracy 0.225, Validation Loss 2.986
120 batches ====> Validation Accuracy 0.157, Validation OOV Accuracy 0.229, Validation Loss 2.978
130 batches ====> Validation Accuracy 0.158, Validation OOV Accuracy 0.224, Validation Loss 2.972
140 batches ====> Validation Accuracy 0.158, Validation OOV Accuracy 0.224, Validation Loss 2.967
150 batches ====> Validation Accuracy 0.158, Validation OOV Accuracy 0.227, Validation Loss 2.962
160 batches ====> Validation Accuracy 0.159, Validation OOV Accuracy 0.225, Validation Loss 2.959
170 batches ====> Validation Accuracy 0.159, Validation OOV Accuracy 0.227, Validation Loss 2.949
180 batches ====> Validation Accuracy 0.160, Validation OOV Accuracy 0.227, Validation Loss 2.941
