570 batches ====> Validation Accuracy 0.171, Validation f1 0.085, Validation OOV Accuracy 0.253, Validation Loss 2.918
580 batches ====> Validation Accuracy 0.171, Validation f1 0.085, Validation OOV Accuracy 0.253, Validation Loss 2.918
590 batches ====> Validation Accuracy 0.171, Validation f1 0.086, Validation OOV Accuracy 0.267, Validation Loss 2.915
600 batches ====> Validation Accuracy 0.171, Validation f1 0.086, Validation OOV Accuracy 0.279, Validation Loss 2.914
610 batches ====> Validation Accuracy 0.171, Validation f1 0.086, Validation OOV Accuracy 0.293, Validation Loss 2.915
620 batches ====> Validation Accuracy 0.174, Validation f1 0.088, Validation OOV Accuracy 0.290, Validation Loss 2.910
630 batches ====> Validation Accuracy 0.172, Validation f1 0.087, Validation OOV Accuracy 0.270, Validation Loss 2.912
640 batches ====> Validation Accuracy 0.171, Validation f1 0.086, Validation OOV Accuracy 0.270, Validation Loss 2.907
650 batches ====> Validation Accuracy 0.173, Validation f1 0.087, Validation OOV Accuracy 0.291, Validation Loss 2.903
660 batches ====> Validation Accuracy 0.173, Validation f1 0.087, Validation OOV Accuracy 0.289, Validation Loss 2.897
670 batches ====> Validation Accuracy 0.180, Validation f1 0.091, Validation OOV Accuracy 0.328, Validation Loss 2.887
680 batches ====> Validation Accuracy 0.178, Validation f1 0.091, Validation OOV Accuracy 0.303, Validation Loss 2.879
690 batches ====> Validation Accuracy 0.184, Validation f1 0.091, Validation OOV Accuracy 0.389, Validation Loss 2.873
700 batches ====> Validation Accuracy 0.189, Validation f1 0.097, Validation OOV Accuracy 0.365, Validation Loss 2.862
710 batches ====> Validation Accuracy 0.190, Validation f1 0.098, Validation OOV Accuracy 0.353, Validation Loss 2.852
720 batches ====> Validation Accuracy 0.192, Validation f1 0.095, Validation OOV Accuracy 0.401, Validation Loss 2.843
730 batches ====> Validation Accuracy 0.198, Validation f1 0.100, Validation OOV Accuracy 0.401, Validation Loss 2.833
740 batches ====> Validation Accuracy 0.200, Validation f1 0.102, Validation OOV Accuracy 0.390, Validation Loss 2.826
750 batches ====> Validation Accuracy 0.203, Validation f1 0.104, Validation OOV Accuracy 0.398, Validation Loss 2.812
